accession	Line #	Plot Number	Replicate Number	Date data gathered	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Date data gathered	Total Yield	Specific gravity at harvest	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance	Heat sprout rating	Date data gathered	Specific gravity at storage	SFA Chip color - 45°	Colorimeter Chip Color	Sugar Analysis-Sucrose	Sugar Analysis-Glucose
accession	#	#	#	mm/dd/yy	Scale 1-9	PVP scale 1-9	PVP scale 1-9	mm/dd/yy	kg	SG = (air)/(air-water)	PVP scale 1-9	NE1014 scale 1-9	PVP scale 1-9	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix	NE1014 scale 1-9	NE1014 scale 1-9	Scale 1-9	mm/yyyy	SG = (air)/(air-water), 1.###	SFA 1-5 color chart		mg/g fresh weight (FW)	mg/g fresh weight (FW)
accession	Line #	Plot Number	Replicate Number	date	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|qscale:PVP	date1	SP:0000198|unit:kg	SP:0000218|unit:	SP:0000185|qscale:PVP	SP:0000186|qscale:NE1014	SP:0000188|qscale:PVP	SP:0000201|qscale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:mm	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014	SP:0000220|scale:potato_cooperators	date2	SP:0000219|unit:	SP:0000223|unit:	SP:0000224|unit:	SP:0000214|unit:milligram	SP:0000215|unit:milligram
A05141-50|2	A05141-50	2056	2	2009/06/03	3	8	6	2009/07/24	1.306	1.06006493506494	5	4	1	5	77.63	50.855	47.574	2	5	4	2	2009/08/01	1.0672514619883	2	59	1.7096	0.3428
A05141-51|1	A05141-51	1017	1	2009/06/03	3	7	7	2009/07/24	0.952	1.05193370165746	5	7	1	3	57.723	44.482	42.109	2	3	3	3	2009/08/01	1.04867256637168	3	52	2.1083	0.8956
A05141-51|2	A05141-51	2092	2	2009/06/03	3	9	9	2009/07/24	2.491	1.04225941422594	5	6	1	7	86.656	54.038	50.285	3	6	3	4	2009/08/01	1.04415584415584	3	54	0.9029	0.6815
A05141-52|1	A05141-52	1082	1	2009/06/03	3	5	4	2009/07/24	2.365	1.0497114957834	5	6	1	8	114.64	50.022	44.304	2	8	2	3	2009/08/01	1.05422993492408	3	46	2.8004	0.5844
A05141-52|2	A05141-52	2010	2	2009/06/03	5	5	3	2009/07/24	2.654	1.05821371610845	5	6	1	8	129.175	53.133	47.58	3	7	4	2	2009/08/01	1.06060606060606	3	53	3.3871	0.5752
A05141-53|1	A05141-53	1068	1	2009/06/03	3	6	4	2009/07/24	0.506	1.05197505197505	5	6	1	6	62.18 : average out of 9	40.51 : average out of 9	38.38 : average out of 9	1	2	3	2	2009/08/01	1.05442176870748	2	58	1.59	0.162
A05141-53|2	A05141-53	2096	2	2009/06/03	3	6	6	2009/07/24	0.377	1.04432132963989	5	6	1	5	57.41 : average out of 6	42.49 : average out of 6	36.68 : average out of 6	2	3	3	1	2009/08/01	1.04901960784314	2	60	1.077	0.165
A05141-54|1	A05141-54	1100	1	2009/06/03	3	5	4	2009/07/24	0.859	1.05918618988903	5	6	1	8	92.04 : average out of 6	46.18 : average out of 6	42.51 : average out of 6	1	8	1	3	2009/08/01	1.07887323943662	2	61	2.4383	0.275
A05141-55|1	A05141-55	1028	1	2009/06/03	3	3	3	2009/07/24	1.728	1.07196029776675	5	6	1	8	84.496	40.485	39.043	1	5	3	2	2009/08/01	1.07476635514019	2	56	3.4192	0.5766
A05141-55|2	A05141-55	2015	2	2009/06/03	3	5	3	2009/07/24	2.257	1.07068311195446	5	6	1	9	122.525	53.995	50.001	1	8	4	2	2009/08/01	1.07407407407407	2	56	2.2779	0.6068
A05141-58|1	A05141-58	1010	1	2009/06/03	3	5	4	2009/07/24	1.738	1.06560392397302	5	5	1	9	110.265	41.865	37.18	1	6	4	3	2009/08/01	1.06940063091483	2	58	2.9425	0.1957
A05141-58|2	A05141-58	2085	2	2009/06/03	3	4	4	2009/07/24	2.692	1.06867804684399	5	4	1	7	91.976	56.499	50.566	1	5	2	4	2009/08/01	1.07785888077859	2	59	2.8921	0.1201
A05141-59|1	A05141-59	1083	1	2009/06/03	5	3	2	2009/07/24	0.872	1.07920792079208	5	4	1	4	57.771	44.175	40.252	3	3	6	1	2009/08/01	1.07386363636364	3	54	4.2489	0.232
A05141-59|2	A05141-59	2045	2	2009/06/03	5	1	1	2009/07/24	1.146	1.07706766917293	5	4	1	4	60.474	49.195	44.618	3	4	5	1	2009/08/01	1.08467741935484	2	58	2.7867	0.2104
A05141-60|1	A05141-60	1072	1	2009/06/03	3	7	4	2009/07/24	2.543	1.06135225375626	5	5	1	6	88.169	47.646	44.504	1	5	1	4	2009/08/01	1.06367041198502	2	56	2.0533	0.2044
A05141-60|2	A05141-60	2013	2	2009/06/03	3	8	6	2009/07/24	2.688	1.06287069988138	5	6	1	8	107.431	48.785	47.231	2	6	3	3	2009/08/01	1.06280193236715	2	56	1.8929	0.1998
A05141-62|1	A05141-62	1020	1	2009/06/03	3	8	8	2009/07/24	1.406	1.05873493975904	5	7	1	8	92.362	40.19	37.401	3	6	2	2	2009/08/01	1.05964912280702	3	51	3.7263	0.9492
