AccessionNum	Gene	Allele	test
LA0665	cva	--	x
LA0666	cor	--	x
LA0667	Cri	--	x
LA0668	cur	--	x
LA0669	dec	--	x
LA0670	det	--	x
LA0671	div	--	x
LA0672	fe	--	x
LA0673	flc	--	x
LA0674	fr	--	x
LA0675	gl	--	x
LA0676	glc	--	x
LA0677	glb	--	x
LA0678	ra	2	x
LA0679	he	--	x
LA0680	imp	dia	x
LA0681	imp	eg	x
LA0682	ic	--	x
LA0683	ic	--	x
LA0684	id	--	x
LA0685	lae	--	x
LA0686	lu	--	x
LA0687	ma	--	x
LA0688	mar	--	x
LA0689	muf	--	x
LA0690	mu	--	x
LA0691	ob	--	x
LA0692	oc	--	x
LA0693	oli	--	x
LA0694	pen	--	x
LA0695	pla	--	x
LA0696	pli	--	x
LA0697	pol	--	x
LA0698	prc	--	x
LA0699	rig	--	x
LA0700	rot	--	x
LA0701	sem	--	x
LA0702	si	--	x
LA0703	spa	--	x
LA0704	sph	--	x
LA0705	ste	--	x
LA0706	suc	--	x
LA0707	sua	--	x
LA0708	ta	--	x
LA0709	bl	to	x
LA0710	tr	--	x
LA0711	ag	--	x
LA0711	ms-02	--	x
LA0711	t	v	x
LA0712	bu	--	x
LA0712	dl	--	x
LA0712	l	--	x
LA0712	ms-02	--	x
LA0713	c	--	x
LA0713	ms-32	--	x
LA0713	yv	--	x
LA0714	a	--	x
LA0714	c	--	x
LA0714	d	--	x
LA0715	aw	--	x
LA0715	d	--	x
LA0715	Me	--	x
LA0715	Wo	m	x
LA0716	I-3	--	x
LA0716	Spi	2	x
LA0717	ah	--	x
LA0717	dl	--	x
LA0717	La	--	x
LA0719	clau	--	x
LA0719	Jau	--	x
LA0720	Hrt	--	x
LA0720	vms	--	x
LA0723	ele	--	x
LA0723	y	--	x
LA0724	imb	--	x
LA0724	y	--	x
LA0725	marm	--	x
LA0725	y	--	x
LA0726	prun	--	x
LA0727	c	--	x
LA0727	d	--	x
LA0727	r	--	x
LA0727	wv	--	x
LA0728	a	--	x
LA0728	lut	--	x
LA0729	a	--	x
LA0729	neg	--	x
LA0730	a	--	x
LA0730	pro	--	x
LA0731	d	--	x
LA0731	sub	--	x
LA0732	d	--	x
LA0732	suf	--	x
LA0733	d	--	x
LA0733	ms-10	--	x
LA0733	Wo	m	x
LA0737	yg-3	--	x
LA0738	yg-4	--	x
LA0740	al	--	x
LA0740	yg-4	--	x
LA0741	d	--	x
LA0741	sy	--	x
LA0741	u	--	x
LA0754	aw	--	x
LA0754	d	--	x
LA0754	m	--	x
LA0754	o	--	x
LA0754	p	--	x
LA0756	j-2	in	x
LA0757	lg-5	--	x
LA0758	tl	--	x
LA0759	lg	--	x
LA0759	pe	--	x
LA0759	t	--	x
LA0759	vi	--	x
LA0760	lg	--	x
LA0760	vi	--	x
LA0761	a	--	x
LA0761	hl	--	x
LA0761	j	--	x
LA0763	lyr	--	x
LA0767	f	D	x
LA0767	scf	--	x
LA0768	wv	--	x
LA0769	hp-1	--	x
LA0769	ls	--	x
LA0769	Lx	--	x
LA0769	px	--	x
LA0770	clau	--	x
LA0770	pa	--	x
LA0771	d	--	x
LA0771	ms-10	--	x
LA0771	Wo	--	x
LA0772	bu	--	x
LA0772	ch	--	x
LA0772	l	--	x
LA0773	c	--	x
LA0773	m-2	--	x
LA0773	yv	--	x
LA0774	e	--	x
LA0774	ful	--	x
LA0775	au	--	x
LA0775	d	--	x
LA0775	h	--	x
LA0775	tf	--	x
LA0776	l	--	x
LA0776	va	virg	x
LA0777	d	--	x
LA0777	dil	--	x
LA0778	Me	--	x
LA0778	ms-31	--	x
LA0778	Wo	m	x
LA0779	clau	--	x
LA0779	rv	--	x
LA0780	ag	--	x
LA0780	c	--	x
LA0780	h	--	x
LA0780	yv	--	x
LA0781	a	--	x
LA0781	e	--	x
LA0781	ful	--	x
LA0781	neg	--	x
LA0782	sf	--	x
LA0782	sy	--	x
LA0783	au	--	x
LA0783	d	--	x
LA0783	tf	--	x
LA0783	Wo	m	x
LA0784	a	--	x
LA0784	e	--	x
LA0784	ful	--	x
LA0784	hl	--	x
LA0785	ah	--	x
LA0785	dl	--	x
LA0785	l	--	x
LA0785	La	--	x
LA0786	nv	--	x
LA0787	e	--	x
LA0787	ven	--	x
LA0788	deb	--	x
LA0788	La	--	x
LA0789	aw	--	x
LA0789	d	--	x
LA0789	m	--	x
LA0789	Me	--	x
LA0790	aw	--	x
LA0790	d	--	x
LA0790	Me	--	x
LA0790	wv	--	x
LA0793	a	--	x
LA0793	c	--	x
LA0793	d	--	x
LA0793	l	--	x
LA0793	r	--	x
LA0793	y	--	x
LA0794	ag	--	x
LA0794	t	v	x
LA0795	ah	--	x
LA0795	dl	--	x
LA0795	yv	--	x
LA0796	Hrt	--	x
LA0796	lg-5	--	x
LA0796	vms	--	x
LA0797	atv	--	x
LA0798	a	--	x
LA0798	hl	--	x
LA0798	j	--	x
LA0798	ms-02	--	x
LA0801	atv	--	x
LA0801	slx	--	x
LA0802	c	--	x
LA0802	m-2	--	x
LA0802	ms-02	--	x
LA0802	yv	--	x
LA0803	a	--	x
LA0803	hl	--	x
LA0803	ms-02	--	x
LA0803	pro	--	x
LA0804	e	--	x
LA0805	a	--	x
LA0805	c	--	x
LA0805	l	--	x
LA0805	spa	--	x
LA0806	B	c	x
LA0807	alb	--	x
LA0808	lg-5	--	x
LA0810	dd	--	x
LA0811	dpy	--	x
LA0812	Pn	--	x
LA0813	pds	--	x
LA0819	dc	--	x
LA0820	det	2	x
LA0821	spl	--	x
LA0822	rig	2	x
LA0824	res	--	x
LA0825	ria	--	x
LA0826	ses	--	x
LA0827	em	--	x
LA0828	dt	--	x
LA0829	dlb	--	x
LA0830	cvl	--	x
LA0831	cg	--	x
LA0832	cfa	--	x
LA0833	cpa	--	x
LA0834	jug	2	x
LA0835	lt	--	x
LA0836	ga	--	x
LA0837	hg	--	x
LA0838	alu	--	x
LA0839	ita	--	x
LA0840	ina	--	x
LA0841	ins	--	x
LA0842	glu	--	x
LA0843	ful	2	x
LA0844	marm	2	x
LA0845	mic	--	x
LA0846	mup	--	x
LA0847	mux	--	x
LA0848	mor	--	x
LA0849	mts	--	x
LA0850	era	--	x
LA0851	mua	--	x
LA0852	exs	--	x
LA0853	su	2	x
LA0854	fa	--	x
LA0855	pm	--	x
LA0856	px	--	x
LA0857	vra	--	x
LA0858	vga	--	x
LA0859	ves	--	x
LA0860	pp	--	x
LA0861	te	--	x
LA0862	sfa	--	x
LA0863	im	--	x
LA0864	frg	--	x
LA0865	sa	--	x
LA0866	mut	--	x
LA0867	pl	--	x
LA0868	os	--	x
LA0872	fsc	--	x
LA0873	fd	--	x
LA0875	hp-1	--	x
LA0875	sp	--	x
LA0875	u	--	x
LA0876	hp-1	--	x
LA0876	sp	--	x
LA0877	pau	--	x
LA0877	r	--	x
LA0878	au	--	x
LA0878	H	--	x
LA0878	ms-31	--	x
LA0878	tf	--	x
LA0879	tl	--	x
LA0879	yv	--	x
LA0880	div	--	x
LA0880	sf	--	x
LA0881	a	--	x
LA0881	hl	--	x
LA0881	neg	--	x
LA0882	adp	--	x
LA0882	deb	--	x
LA0882	La	--	x
LA0883	ah	--	x
LA0883	pum	--	x
LA0884	marm	--	x
LA0884	wd	--	x
LA0885	e	--	x
LA0885	ful	--	x
LA0885	su	3	x
LA0886	e	--	x
LA0886	ful	--	x
LA0886	ra	--	x
LA0887	ful	--	x
LA0887	ra	--	x
LA0888	clau	--	x
LA0888	e	--	x
LA0888	ful	--	x
LA0888	ven	--	x
LA0889	ra	--	x
LA0889	su	3	x
LA0890	ra	--	x
LA0890	ven	--	x
LA0891	e	--	x
LA0891	ful	--	x
LA0891	muf	--	x
LA0892	lg-5	--	x
LA0893	alb	--	x
LA0893	Lpg	--	x
LA0893	ser	--	x
LA0893	slx	--	x
LA0894	inv	--	x
LA0894	Jau	--	x
LA0895	Hr	--	x
LA0895	sp	--	x
LA0895	tp	--	x
LA0895	u	--	x
LA0896	clau	vc	x
LA0897	al	--	x
LA0897	bu	--	x
LA0897	dl	--	x
LA0897	l	--	x
LA0898	ms-31	--	x
LA0899	ms	--	x
LA0900	aw	--	x
LA0900	d	--	x
LA0900	m	--	x
LA0900	ms-31	--	x
LA0901	aw	--	x
LA0901	d	--	x
LA0901	m	--	x
LA0901	ms	--	x
LA0902	e	--	x
LA0902	ful	--	x
LA0902	ms-31	--	x
LA0902	ra	2	x
LA0903	e	--	x
LA0903	ful	--	x
LA0903	ms-33	--	x
LA0903	ra	2	x
LA0904	c	--	x
LA0904	ms-31	--	x
LA0904	yv	--	x
LA0905	c	--	x
LA0905	m-2	--	x
LA0905	ms-33	--	x
LA0905	yv	--	x
LA0907	lut	--	x
LA0907	pr	--	x
LA0908	per	--	x
LA0908	var	--	x
LA0909	con	--	x
LA0909	sf	--	x
LA0910	inv	--	x
LA0910	per	--	x
LA0911	afl	--	x
LA0911	clau	--	x
LA0911	ful	--	x
LA0912	ht	--	x
LA0912	su	3	x
LA0913	ful	--	x
LA0913	ht	--	x
LA0913	su	3	x
LA0914	com	--	x
LA0914	ful	--	x
LA0915	clau	--	x
LA0915	ful	--	x
LA0916	clau	--	x
LA0916	ra	--	x
LA0916	su	3	x
LA0917	clau	--	x
LA0917	e	--	x
LA0917	ful	--	x
LA0917	ra	--	x
LA0917	su	3	x
LA0918	clau	--	x
LA0918	e	--	x
LA0918	ful	--	x
LA0918	su	3	x
LA0919	clau	--	x
LA0919	e	--	x
LA0919	ful	--	x
LA0919	ra	--	x
LA0920	e	--	x
LA0920	ful	--	x
LA0920	ra	--	x
LA0920	su	3	x
LA0921	ful	--	x
LA0922	bu	--	x
LA0922	dl	--	x
LA0922	spa	--	x
LA0923	ig	--	x
LA0923	La	--	x
LA0924	La	--	x
LA0924	not	--	x
LA0925	a	--	x
LA0925	f	--	x
LA0925	hl	--	x
LA0925	j	--	x
LA0933	acr	--	x
LA0934	adu	--	x
LA0935	afe	--	x
LA0936	avi	--	x
LA0937	hl	2	x
LA0938	ci	--	x
LA0939	cta	--	x
LA0940	coa	--	x
LA0941	cru	--	x
LA0942	ete	--	x
LA0943	fld	--	x
LA0944	fua	--	x
LA0945	fcf	--	x
LA0946	fug	--	x
LA0947	gas	--	x
LA0948	glf	--	x
LA0949	grl	--	x
LA0950	grc	--	x
LA0951	grf	--	x
LA0952	hi	--	x
LA0953	ini	--	x
LA0954	ino	--	x
LA0955	lap	--	x
LA0956	le	--	x
LA0957	lep	--	x
LA0958	lop	--	x
LA0959	lur	--	x
LA0960	mac	--	x
LA0961	mad	--	x
LA0962	med	--	x
LA0963	mel	--	x
LA0964	muv-2	--	x
LA0965	mta	--	x
LA0966	opa	--	x
LA0967	ovi	--	x
LA0968	pas	--	x
LA0969	sfa	2	x
LA0970	pa-2	--	x
LA0971	pet	--	x
LA0972	prt	--	x
LA0973	pu	2	x
LA0974	pun	--	x
LA0975	ria	2	x
LA0976	roa	--	x
LA0977	spe	--	x
LA0978	sar	--	x
LA0979	tem	--	x
LA0980	bl	2	x
LA0981	yv	2	x
