Accession	Status	Accession Category	Taxon (Lycopersicon)	Taxon2 (Solanum)	Collection Site	Province Or Department	Country
LA0378	Active	Wild species	L. peruvianum	S. arcanum	Cascas	Cajamarca	Peru
LA0385	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan (Rio Jequetepeque)	Cajamarca	Peru
LA0389	Unavailable	Wild species	L. peruvianum var. humifusum	S. arcanum	Abra Gavilan	Cajamarca	Peru
LA0392	Unavailable	Wild species	L. peruvianum	S. arcanum	Llallan	Cajamarca	Peru
LA0441	Active	Wild species	L. peruvianum	S. arcanum	Cerro Campana	La Libertad	Peru
LA1027	Unavailable	Wild species	L. peruvianum	S. arcanum	Chilete	Cajamarca	Peru
LA1031	Unavailable	Wild species	L. peruvianum	S. arcanum	Balsas	Amazonas	Peru
LA1032	Active	Wild species	L. peruvianum	S. arcanum	Aricapampa	La Libertad	Peru
LA1346	Active	Wild species	L. peruvianum	S. arcanum	Casmiche	La Libertad	Peru
LA1350	Active	Wild species	L. peruvianum	S. arcanum	Chauna	Cajamarca	Peru
LA1351	Active	Wild species	L. peruvianum	S. arcanum	Rupe	Cajamarca	Peru
LA1360	Active	Wild species	L. peruvianum	S. arcanum	Pariacoto	Ancash	Peru
LA1394	Active	Wild species	L. peruvianum	S. arcanum	Balsas - Rio Utcubamba	Amazonas	Peru
LA1395	Active	Wild species	L. peruvianum	S. arcanum	Chachapoyas	Amazonas	Peru
LA1396	Unavailable	Wild species	L. peruvianum	S. arcanum	Balsas (Chachapoyas)	Amazonas	Peru
LA1626	Active	Wild species	L. peruvianum	S. arcanum	Mouth of Rio Rupac	Ancash	Peru
LA1708	Active	Wild species	L. peruvianum	S. arcanum	Chamaya to Jaen	Cajamarca	Peru
LA1984	Active	Wild species	L. peruvianum	S. arcanum	Otuzco	La Libertad	Peru
LA1985	Active	Wild species	L. peruvianum	S. arcanum	Casmiche	La Libertad	Peru
LA2150	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	Puente Muyuna	Cajamarca	Peru
LA2151	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	Morochupa	Cajamarca	Peru
LA2152	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan #1	Cajamarca	Peru
LA2153	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan #2	Cajamarca	Peru
LA2157	Active	Wild species	L. peruvianum	S. arcanum	Tunel Chotano	Cajamarca	Peru
LA2163	Active	Wild species	L. peruvianum	S. arcanum	Cochabamba to Yamaluc	Cajamarca	Peru
LA2164	Unavailable	Wild species	L. peruvianum	S. arcanum	Yamaluc	Cajamarca	Peru
LA2172	Active	Wild species	L. peruvianum	S. arcanum	Cuyca	Cajamarca	Peru
LA2185	Active	Wild species	L. peruvianum	S. arcanum	Pongo de Rentema	Amazonas	Peru
LA2326	Active	Wild species	L. peruvianum	S. arcanum	Above Balsas	Amazonas	Peru
LA2327	Active	Wild species	L. peruvianum	S. arcanum	Aguas Calientes	Cajamarca	Peru
LA2328	Unavailable	Wild species	L. peruvianum	S. arcanum	Aricapampa	La Libertad	Peru
LA2330	Active	Wild species	L. peruvianum	S. arcanum	Chagual	La Libertad	Peru
LA2331	Unavailable	Wild species	L. peruvianum	S. arcanum	Agallpampa	La Libertad	Peru
LA2333	Unavailable	Wild species	L. peruvianum	S. arcanum	Casmiche	La Libertad	Peru
LA2334	Unavailable	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan	Cajamarca	Peru
LA2388	Active	Wild species	L. peruvianum	S. arcanum	Cochabamba to Huambos (Chota)	Cajamarca	Peru
LA2548	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	La Moyuna	Cajamarca	Peru
LA2550	Unavailable	Wild species	L. peruvianum var. humifusum	S. arcanum	El Tingo, Chorpampa-San Juan	Cajamarca	Peru
LA2553	Unavailable	Wild species	L. peruvianum	S. arcanum	Balconcillo de San Marcos	Cajamarca	Peru
LA2555	Unavailable	Wild species	L. peruvianum	S. arcanum	Marical - Castilla	La Libertad	Peru
LA2565	Unavailable	Wild species	L. peruvianum	S. arcanum	Potrero de Panacocha a Llamellin	Ancash	Peru
LA2566	Active	Wild species	L. peruvianum	S. arcanum	Cullachaca	Ancash	Peru
LA2582	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	San Juan (4x)	Cajamarca	Peru
LA2583	Active	Wild species	L. peruvianum var. humifusum	S. arcanum	(4x)		
LA2917	Active	Wild species	L. peruvianum	S. arcanum	Chullchaca	Ancash	Peru
LA4316	Unavailable	Wild species	L. peruvianum	S. arcanum	Kuntur Wasi	Cajamarca	Peru
LA0166	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Barranco, N of Punta Ayora	Galapagos Islands	Ecuador
LA0421	Active	Wild species	L. cheesmanii	S. cheesmaniae	San Cristobal:  cliff East of Wreck Bay	Galapagos Islands	Ecuador
LA0422	Active	Wild species	L. cheesmanii	S. cheesmaniae	San Cristobal:  Wreck Bay, Puerto Baquerizo	Galapagos Islands	Ecuador
LA0428	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Trail Bellavista to Miconia Zone	Galapagos Islands	Ecuador
LA0429	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Crater in highlands	Galapagos Islands	Ecuador
LA0434	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Rambech Trail	Galapagos Islands	Ecuador
LA0437	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  Ponds North of Villamil	Galapagos Islands	Ecuador
LA0521	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina:  Inside Crater	Galapagos Islands	Ecuador
LA0522	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina: Outer slopes	Galapagos Islands	Ecuador
LA0524	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  Punta Essex	Galapagos Islands	Ecuador
LA0528B	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Academy Bay	Galapagos Islands	Ecuador
LA0529	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina: Crater	Galapagos Islands	Ecuador
LA0531	Active	Wild species	L. cheesmanii	S. cheesmaniae	Baltra: Barranco slope, N side	Galapagos Islands	Ecuador
LA0746	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  Punta Essex	Galapagos Islands	Ecuador
LA0749	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina:  North side	Galapagos Islands	Ecuador
LA0927	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Academy Bay	Galapagos Islands	Ecuador
LA0932	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Tagus Cove	Galapagos Islands	Ecuador
LA1035	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina: Low elevation	Galapagos Islands	Ecuador
LA1036	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  far north end	Galapagos Islands	Ecuador
LA1037	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Alcedo crater	Galapagos Islands	Ecuador
LA1039	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  Cape Berkeley	Galapagos Islands	Ecuador
LA1040	Active	Wild species	L. cheesmanii	S. cheesmaniae	San Cristobal: Caleta Tortuga	Galapagos Islands	Ecuador
LA1041	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  El Cascajo	Galapagos Islands	Ecuador
LA1042	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Cerro Santo Tomas	Galapagos Islands	Ecuador
LA1043	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Cerro Santo Tomas	Galapagos Islands	Ecuador
LA1138	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  E of Cerro Azul	Galapagos Islands	Ecuador
LA1139	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  W of Cerro Azul	Galapagos Islands	Ecuador
LA1402	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina: W of Punta Espinoza	Galapagos Islands	Ecuador
LA1404	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina:  W flank caldera	Galapagos Islands	Ecuador
LA1406	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina:  SW rim caldera	Galapagos Islands	Ecuador
LA1407	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina:  caldera, NW bench	Galapagos Islands	Ecuador
LA1409	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Punta Albemarle	Galapagos Islands	Ecuador
LA1412	Active	Wild species	L. cheesmanii	S. cheesmaniae	San Cristobal:  opposite Isla Lobos	Galapagos Islands	Ecuador
LA1414	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela: Cerro Azul	Galapagos Islands	Ecuador
LA1427	Active	Wild species	L. cheesmanii	S. cheesmaniae	Fernandina: WSW rim of caldera	Galapagos Islands	Ecuador
LA1447	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz: Charles Darwin Station-Punta Nunez	Galapagos Islands	Ecuador
LA1448	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz:  Puerto Ayora, Pelican Bay	Galapagos Islands	Ecuador
LA1449	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Cruz: Charles Darwin Station, Seismo Station	Galapagos Islands	Ecuador
LA1450	Active	Wild species	L. cheesmanii	S. cheesmaniae	Isabela:  Bahia San Pedro	Galapagos Islands	Ecuador
LA3124	Active	Wild species	L. cheesmanii	S. cheesmaniae	Santa Fe: near E landing	Galapagos Islands	Ecuador
LA0130	Active	Wild species	L. chilense	S. chilense	Moquegua	Moquegua	Peru
LA0294	Active	Wild species	L. chilense	S. chilense	Tacna	Tacna	Peru
LA0456	Active	Wild species	L. chilense	S. chilense	Clemesi	Moquegua	Peru
LA0458	Active	Wild species	L. chilense	S. chilense	Tacna	Tacna	Peru
LA0460	Active	Wild species	L. chilense	S. chilense	Palca	Tacna	Peru
LA0470	Active	Wild species	L. chilense	S. chilense	Taltal	Antofagasta	Chile
LA1029	Active	Wild species	L. chilense	S. chilense	Moquegua	Moquegua	Peru
LA1030	Active	Wild species	L. chilense	S. chilense	N of Tacna	Tacna	Peru
LA1782	Active	Wild species	L. chilense	S. chilense	Quebrada de Acari	Arequipa	Peru
LA1917	Active	Wild species	L. chilense	S. chilense	Llauta (4x)	Ayacucho	Peru
LA1930	Active	Wild species	L. chilense	S. chilense	Quebrada Calapampa	Arequipa	Peru
LA1931	Unavailable	Wild species	L. chilense	S. chilense	Mina Santa Rosa	Arequipa	Peru
LA1932	Active	Wild species	L. chilense	S. chilense	Minas de Acari	Arequipa	Peru
LA1938	Active	Wild species	L. chilense	S. chilense	Quebrada Salsipuedes	Arequipa	Peru
LA1958	Active	Wild species	L. chilense	S. chilense	Pampa de la Clemesi	Moquegua	Peru
LA1959	Active	Wild species	L. chilense	S. chilense	Huaico Moquegua	Moquegua	Peru
LA1960	Active	Wild species	L. chilense	S. chilense	Rio Osmore	Moquegua	Peru
LA1961	Unavailable	Wild species	L. chilense	S. chilense	Toquepala	Tacna	Peru
LA1962	Active	Wild species	L. chilense	S. chilense	Huaico Tacna	Tacna	Peru
LA1963	Active	Wild species	L. chilense	S. chilense	Rio Caplina	Tacna	Peru
LA1965	Active	Wild species	L. chilense	S. chilense	Causuri	Tacna	Peru
LA1967	Active	Wild species	L. chilense	S. chilense	Pachia, Rio Caplina	Tacna	Peru
LA1968	Active	Wild species	L. chilense	S. chilense	Cause Seco, Tacna to Tarata	Tacna	Peru
LA1969	Active	Wild species	L. chilense	S. chilense	Estique Pampa	Tacna	Peru
LA1970	Active	Wild species	L. chilense	S. chilense	Tarata	Tacna	Peru
LA1971	Active	Wild species	L. chilense	S. chilense	Palquilla	Tacna	Peru
LA1972	Active	Wild species	L. chilense	S. chilense	Rio Sama	Tacna	Peru
LA2404	Active	Wild species	L. chilense	S. chilense	Arica to Tignamar	Arica and Parinacota	Chile
LA2405	Active	Wild species	L. chilense	S. chilense	Tignamar	Arica and Parinacota	Chile
LA2406	Active	Wild species	L. chilense	S. chilense	Arica to Putre	Arica and Parinacota	Chile
LA2731	Active	Wild species	L. chilense	S. chilense	Moquella	Tarapaca	Chile
LA2737	Active	Wild species	L. chilense	S. chilense	Yala-yala	Tarapaca	Chile
LA2739	Active	Wild species	L. chilense	S. chilense	Crossroads Nama to Camina	Tarapaca	Chile
LA2743	Unavailable	Wild species	L. chilense	S. chilense	La Puntilla	Arica and Parinacota	Chile
LA2746	Active	Wild species	L. chilense	S. chilense	Asentamiento-18	Arica and Parinacota	Chile
LA2747	Active	Wild species	L. chilense	S. chilense	Alta Azapa	Arica and Parinacota	Chile
LA2748	Active	Wild species	L. chilense	S. chilense	Soledad	Tarapaca	Chile
LA2749	Active	Wild species	L. chilense	S. chilense	Mina La Buena Esperanza	Antofagasta	Chile
LA2750	Active	Wild species	L. chilense	S. chilense	Mina La Despreciada	Antofagasta	Chile
LA2751	Active	Wild species	L. chilense	S. chilense	Pachica (Rio Tarapaca)	Tarapaca	Chile
LA2753	Active	Wild species	L. chilense	S. chilense	Laonzana	Tarapaca	Chile
LA2754	Active	Wild species	L. chilense	S. chilense	W of Chusmisa	Tarapaca	Chile
LA2755	Active	Wild species	L. chilense	S. chilense	Banos de Chusmisa	Tarapaca	Chile
LA2757	Active	Wild species	L. chilense	S. chilense	W of Chusmisa	Tarapaca	Chile
LA2759	Active	Wild species	L. chilense	S. chilense	Mamina	Tarapaca	Chile
LA2762	Active	Wild species	L. chilense	S. chilense	Quebradas de Mamina a Parca	Tarapaca	Chile
LA2764	Active	Wild species	L. chilense	S. chilense	Codpa	Arica and Parinacota	Chile
LA2765	Active	Wild species	L. chilense	S. chilense	Timar	Arica and Parinacota	Chile
LA2767	Active	Wild species	L. chilense	S. chilense	Chitita	Arica and Parinacota	Chile
LA2768	Active	Wild species	L. chilense	S. chilense	Empalme Codpa	Arica and Parinacota	Chile
LA2771	Active	Wild species	L. chilense	S. chilense	Above Poconchile	Arica and Parinacota	Chile
LA2773	Active	Wild species	L. chilense	S. chilense	Zapahuira	Arica and Parinacota	Chile
LA2774	Active	Wild species	L. chilense	S. chilense	Socorama	Arica and Parinacota	Chile
LA2778	Active	Wild species	L. chilense	S. chilense	Chapiquina	Arica and Parinacota	Chile
LA2779	Active	Wild species	L. chilense	S. chilense	Cimentario Belen	Arica and Parinacota	Chile
LA2780	Active	Wild species	L. chilense	S. chilense	Belen to Lupica	Arica and Parinacota	Chile
LA2879	Active	Wild species	L. chilense	S. chilense	Peine	Antofagasta	Chile
LA2880	Active	Wild species	L. chilense	S. chilense	Quebrada Tilopozo	Antofagasta	Chile
LA2882	Active	Wild species	L. chilense	S. chilense	Camar	Antofagasta	Chile
LA2884	Active	Wild species	L. chilense	S. chilense	Ayaviri	Antofagasta	Chile
LA2887	Active	Wild species	L. chilense	S. chilense	Quebrada Bandurria	Antofagasta	Chile
LA2888	Active	Wild species	L. chilense	S. chilense	Loma Paposo	Antofagasta	Chile
LA2891	Active	Wild species	L. chilense	S. chilense	Quebrada Taltal	Antofagasta	Chile
LA2930	Active	Wild species	L. chilense	S. chilense	Quebrada Taltal	Antofagasta	Chile
LA2931	Active	Wild species	L. chilense	S. chilense	Guatacondo	Tarapaca	Chile
LA2932	Active	Wild species	L. chilense	S. chilense	Quebrada Gatico,  Mina Escalera	Antofagasta	Chile
LA2946	Active	Wild species	L. chilense	S. chilense	Guatacondo	Tarapaca	Chile
LA2949	Active	Wild species	L. chilense	S. chilense	Chusmisa	Tarapaca	Chile
LA2952	Active	Wild species	L. chilense	S. chilense	Camiña	Tarapaca	Chile
LA2955	Unavailable	Wild species	L. chilense	S. chilense	Quistagama-Quisama	Tarapaca	Chile
LA2965	Unavailable	Wild species	L. chilense	S. chilense	Pachia	Tacna	Peru
LA2980	Active	Wild species	L. chilense	S. chilense	Yacango	Moquegua	Peru
LA2981A	Active	Wild species	L. chilense	S. chilense	Torata	Moquegua	Peru
LA3111	Active	Wild species	L. chilense	S. chilense	Tarata	Tacna	Peru
LA3112	Active	Wild species	L. chilense	S. chilense	Estique Pampa	Tacna	Peru
LA3113	Active	Wild species	L. chilense	S. chilense	Apacheta	Tacna	Peru
LA3114	Active	Wild species	L. chilense	S. chilense	Quilla	Tacna	Peru
LA3115	Active	Wild species	L. chilense	S. chilense	W of Quilla	Tacna	Peru
LA3153	Active	Wild species	L. chilense	S. chilense	Desvio Omate (Rio de Osmore)	Moquegua	Peru
LA3155	Active	Wild species	L. chilense	S. chilense	Quinistaquillas	Moquegua	Peru
LA3355	Unavailable	Wild species	L. chilense	S. chilense	Cacique de Ara	Tacna	Peru
LA3356	Unavailable	Wild species	L. chilense	S. chilense	W of Tacna	Tacna	Peru
LA3357	Unavailable	Wild species	L. chilense	S. chilense	Irrigacion Magollo	Tacna	Peru
LA3358	Unavailable	Wild species	L. chilense	S. chilense	Rio Arunta-Cono Sur	Tacna	Peru
LA3784	Unavailable	Wild species	L. chilense	S. chilense	Rio Chaparra	Arequipa	Peru
LA3785	Unavailable	Wild species	L. chilense	S. chilense	Terras Blancas	Arequipa	Peru
LA3786	Unavailable	Wild species	L. chilense	S. chilense	Alta Chaparra	Arequipa	Peru
LA4106	Active	Wild species	L. chilense	S. chilense	Taltal	Antofagasta	Chile
LA4107	Active	Wild species	L. chilense	S. chilense	Catarata Taltal	Antofagasta	Chile
LA4108	Active	Wild species	L. chilense	S. chilense	Caleta Punta Grande	Antofagasta	Chile
LA4109	Active	Wild species	L. chilense	S. chilense	Quebrada Canas	Antofagasta	Chile
LA4117A	Active	Wild species	L. chilense	S. chilense	San Pedro - Paso Jama	Antofagasta	Chile
LA4117B	Active	Wild species	L. chilense	S. chilense	San Pedro - Paso Jama	Antofagasta	Chile
LA4118	Active	Wild species	L. chilense	S. chilense	Toconao	Antofagasta	Chile
LA4119	Active	Wild species	L. chilense	S. chilense	Socaire	Antofagasta	Chile
LA4120	Active	Wild species	L. chilense	S. chilense	Cahuisa	Tarapaca	Chile
LA4121	Unavailable	Wild species	L. chilense	S. chilense	Pachica - Poroma	Tarapaca	Chile
LA4122	Active	Wild species	L. chilense	S. chilense	Chiapa	Tarapaca	Chile
LA4127	Active	Wild species	L. chilense	S. chilense	Alto Umayani	Arica and Parinacota	Chile
LA4129	Active	Wild species	L. chilense	S. chilense	Pachica (Rio Camarones)	Arica and Parinacota	Chile
LA4132	Active	Wild species	L. chilense	S. chilense	Esquina	Arica and Parinacota	Chile
LA4319	Active	Wild species	L. chilense	S. chilense	Alto Rio Lluta	Arica and Parinacota	Chile
LA4321	Active	Wild species	L. chilense	S. chilense	Quebrada Cardones	Arica and Parinacota	Chile
LA4324	Active	Wild species	L. chilense	S. chilense	Estacion Puquio	Arica and Parinacota	Chile
LA4327	Active	Wild species	L. chilense	S. chilense	Pachica, Rio Camarones	Arica and Parinacota	Chile
LA4329	Active	Wild species	L. chilense	S. chilense	Puente del Diablo, Rio Salado	Antofagasta	Chile
LA4330	Active	Wild species	L. chilense	S. chilense	Caspana	Antofagasta	Chile
LA4332	Active	Wild species	L. chilense	S. chilense	Rio Grande	Antofagasta	Chile
LA4334	Active	Wild species	L. chilense	S. chilense	Quebrada Sicipo	Antofagasta	Chile
LA4335	Active	Wild species	L. chilense	S. chilense	Quebrada Tucuraro	Antofagasta	Chile
LA4336	Active	Wild species	L. chilense	S. chilense	Quebrada Cascabeles	Antofagasta	Chile
LA4337	Active	Wild species	L. chilense	S. chilense	Quebrada Paposo	Antofagasta	Chile
LA4338	Active	Wild species	L. chilense	S. chilense	Quebrada Taltal, Estacion Breas	Antofagasta	Chile
LA4339	Active	Wild species	L. chilense	S. chilense	Quebrada Los Zanjones	Antofagasta	Chile
LA1028	Active	Wild species	L. chmielewskii	S. chmielewskii	Casinchihua	Apurimac	Peru
LA1306	Active	Wild species	L. chmielewskii	S. chmielewskii	Tambo	Ayacucho	Peru
LA1316	Active	Wild species	L. chmielewskii	S. chmielewskii	Ocros	Ayacucho	Peru
LA1317	Active	Wild species	L. chmielewskii	S. chmielewskii	Hacienda Pajonal	Ayacucho	Peru
LA1318	Active	Wild species	L. chmielewskii	S. chmielewskii	Auquibamba	Apurimac	Peru
LA1325	Active	Wild species	L. chmielewskii	S. chmielewskii	Puente Cunyac	Apurimac	Peru
LA1327	Active	Wild species	L. chmielewskii	S. chmielewskii	Sorocata	Apurimac	Peru
LA1330	Active	Wild species	L. chmielewskii	S. chmielewskii	Chalhuanca	Apurimac	Peru
LA2639B	Active	Wild species	L. chmielewskii	S. chmielewskii	Puente Cunyac	Apurimac	Peru
LA2663	Active	Wild species	L. chmielewskii	S. chmielewskii	Tujtohaiya	Cusco	Peru
LA2677	Active	Wild species	L. chmielewskii	S. chmielewskii	Huaypachaca #1	Cusco	Peru
LA2678	Active	Wild species	L. chmielewskii	S. chmielewskii	Huaypachaca #2	Cusco	Peru
LA2679	Active	Wild species	L. chmielewskii	S. chmielewskii	Huaypachaca #3	Cusco	Peru
LA2680	Active	Wild species	L. chmielewskii	S. chmielewskii	Puente Apurimac #1	Cusco	Peru
LA2681	Active	Wild species	L. chmielewskii	S. chmielewskii	Puente Apurimac #2	Cusco	Peru
LA2695	Active	Wild species	L. chmielewskii	S. chmielewskii	Chihuanpampa	Cusco	Peru
LA3642	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Ankukunka	Cusco	Peru
LA3643	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Colcha	Cusco	Peru
LA3644	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Puente Tincoj	Cusco	Peru
LA3645	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Boca del Rio Velille	Cusco	Peru
LA3648	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Huallapachaca	Apurimac	Peru
LA3653	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Matara	Apurimac	Peru
LA3654	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Casinchihua to Chacoche	Apurimac	Peru
LA3656	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Chalhuani	Apurimac	Peru
LA3658	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Colcabamba	Apurimac	Peru
LA3661	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Pampatama	Apurimac	Peru
LA3662	Unavailable	Wild species	L. chmielewskii	S. chmielewskii	Huancarpuquio	Apurimac	Peru
LA0103	Active	Wild species	L. peruvianum	S. corneliomuelleri	Cajamarquilla, Rio Rimac	Lima	Peru
LA0107	Active	Wild species	L. peruvianum	S. corneliomuelleri	Hacienda San Isidro, Rio Canete	Lima	Peru
LA0364	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Canta	Lima	Peru
LA0366	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	12 Km W of Canta	Lima	Peru
LA0444	Active	Wild species	L. peruvianum	S. corneliomuelleri	Chincha #1	Ica	Peru
LA0451	Active	Wild species	L. peruvianum	S. corneliomuelleri	Arequipa	Arequipa	Peru
LA1133	Active	Wild species	L. peruvianum	S. corneliomuelleri	Huachipa	Lima	Peru
LA1271	Active	Wild species	L. peruvianum	S. corneliomuelleri	Horcon	Lima	Peru
LA1274	Active	Wild species	L. peruvianum	S. corneliomuelleri	Pacaibamba	Lima	Peru
LA1281	Active	Wild species	L. peruvianum	S. corneliomuelleri	Sisacaya	Lima	Peru
LA1283	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Santa Cruz de Laya	Lima	Peru
LA1284	Unavailable	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Espiritu Santo	Lima	Peru
LA1292	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	San Mateo	Lima	Peru
LA1293	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Matucana	Lima	Peru
LA1294	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Surco	Lima	Peru
LA1296	active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Tornamesa	Lima	Peru
LA1304	Active	Wild species	L. peruvianum	S. corneliomuelleri	Pampano	Huancavelica	Peru
LA1305	Active	Wild species	L. peruvianum	S. corneliomuelleri	Ticrapo	Huancavelica	Peru
LA1331	Active	Wild species	L. peruvianum	S. corneliomuelleri	Nazca	Ica	Peru
LA1339	Active	Wild species	L. peruvianum	S. corneliomuelleri	Capillucas	Lima	Peru
LA1373	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Asia	Lima	Peru
LA1377	Active	Wild species	L. peruvianum	S. corneliomuelleri	Navan	Lima	Peru
LA1379	Active	Wild species	L. peruvianum	S. corneliomuelleri	Caujul	Lima	Peru
LA1473	Active	Wild species	L. peruvianum	S. corneliomuelleri	Callahuanca, Santa Eulalia valley	Lima	Peru
LA1551	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Rimac Valley, Km 71	Lima	Peru
LA1552	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Rimac Valley, Km 93	Lima	Peru
LA1554	Active	Wild species	L. peruvianum	S. corneliomuelleri	Huaral to Cerro de Pasco, Rio Chancay	Lima	Peru
LA1609	Active	Wild species	L. peruvianum	S. corneliomuelleri	Asia -  El Pinon	Lima	Peru
LA1646	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Yaso	Lima	Peru
LA1647	Active	Wild species	L. peruvianum	S. corneliomuelleri	Huadquina, Topara	Ica	Peru
LA1653	Active	Wild species	L. peruvianum	S. corneliomuelleri	Uchumayo, Arequipa	Arequipa	Peru
LA1677	Active	Wild species	L. peruvianum	S. corneliomuelleri	Fundo Huadquina, Topara	Ica	Peru
LA1694	Active	Wild species	L. peruvianum	S. corneliomuelleri	Cacachuhuasiin, Cacra	Lima	Peru
LA1722	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	Ticrapo Viejo	Huancavelica	Peru
LA1723	Active	Wild species	L. peruvianum f. glandulosum	S. corneliomuelleri	La Quinga	Ica	Peru
LA1744	Active	Wild species	L. peruvianum	S. corneliomuelleri	Putinza	Lima	Peru
LA1910	Active	Wild species	L. peruvianum	S. corneliomuelleri	Tambillo	Huancavelica	Peru
LA1937	Active	Wild species	L. peruvianum	S. corneliomuelleri	Quebrada Torrecillas	Arequipa	Peru
LA1944	Active	Wild species	L. peruvianum	S. corneliomuelleri	Rio Atico	Arequipa	Peru
LA1945	Active	Wild species	L. peruvianum	S. corneliomuelleri	Caraveli	Arequipa	Peru
LA1973	Active	Wild species	L. peruvianum	S. corneliomuelleri	Yura	Arequipa	Peru
LA2717	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Chilca	Lima	Peru
LA2721	Active	Wild species	L. peruvianum	S. corneliomuelleri	Putinza	Lima	Peru
LA2724	Active	Wild species	L. peruvianum	S. corneliomuelleri	Huaynilla	Lima	Peru
LA2962	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Echancay	Arequipa	Peru
LA2981B	Active	Wild species	L. peruvianum	S. corneliomuelleri	Torata	Moquegua	Peru
LA3154	Active	Wild species	L. peruvianum	S. corneliomuelleri	Otora-Puente Jaguay	Moquegua	Peru
LA3156	Active	Wild species	L. peruvianum	S. corneliomuelleri	Omate  Valley	Moquegua	Peru
LA3219	Active	Wild species	L. peruvianum	S. corneliomuelleri	Catarindo	Arequipa	Peru
LA3637	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Coayllo	Lima	Peru
LA3639	Unavailable	Wild species	L. peruvianum	S. corneliomuelleri	Ccatac	Lima	Peru
