AccessionNum	Gene	Allele	ImageNum	Hyperlink
3-302	ah	prov2	774	http://tgrc.ucdavis.edu/images/ah^prov2-3-302-seedling-comp.jpg
3-302	ah	prov2	777	http://tgrc.ucdavis.edu/images/ah^prov2-3-302-seedling.jpg
3-343	ah	prov7	778	http://tgrc.ucdavis.edu/images/ah^prov7-3-343-seedling-comp.jpg
3-345	c	prov2	824	http://tgrc.ucdavis.edu/images/c^prov2-3-345-seedling.jpg
3-345	c	prov2	825	http://tgrc.ucdavis.edu/images/c^prov2-3-345-seedling-comp.jpg
3-414	a	prov2	749	http://tgrc.ucdavis.edu/images/a^prov2-3-414-stem.jpg
3-414	a	prov2	750	http://tgrc.ucdavis.edu/images/a^prov2-3-414-seedling-comp.jpg
3-602	bip	prov2	737	http://tgrc.ucdavis.edu/images/3-602,LA3217,LA0512,3-035A,2-295,LA1795-leaves.jpg
3-602	bip	prov2	807	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-leaves.jpg
3-602	bip	prov2	808	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling-comp2.jpg
3-602	bip	prov2	809	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling.jpg
3-602	bip	prov2	810	http://tgrc.ucdavis.edu/images/bip^prov2-3-602-seedling-comp.jpg
3-603	aw	prov4	803	http://tgrc.ucdavis.edu/images/aw^prov4-3-603-seedling-comp.jpg
3-604	c	prov3	826	http://tgrc.ucdavis.edu/images/c^prov3-3-604-seedling.jpg
3-604	c	prov3	827	http://tgrc.ucdavis.edu/images/c^prov3-3-604-seedling-comp.jpg
3-625	alb	prov2	786	http://tgrc.ucdavis.edu/images/alb^prov2-3-625-seedling.jpg
3-631	c	prov6	828	http://tgrc.ucdavis.edu/images/c^prov6-3-631-seedling-comp.jpg
3-706	ae	2	759	http://tgrc.ucdavis.edu/images/ae^2-3-706-seedling-comp.jpg
3-802	pi-2	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif
3-802	pi-2	--	975	http://tgrc.ucdavis.edu/images/pi-2-3-802-flower.jpg
3-802	pi-2	--	976	http://tgrc.ucdavis.edu/images/pi-2-3-802-whole-plant.jpg
3-804	grn	--	319	http://tgrc.ucdavis.edu/images/grn.gif
3-805	ccf	--	64	http://tgrc.ucdavis.edu/images/ccf.flowers.gif
3-805	ccf	--	65	http://tgrc.ucdavis.edu/images/ccf.fruit.gif
LA0013	a	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	a	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0013	c	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	c	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0013	d	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	d	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0013	l	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	l	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0013	r	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	r	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0013	y	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg
LA0013	y	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg
LA0014	al	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	d	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	dm	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	f	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	h	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	j	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0014	wt	--	781	http://tgrc.ucdavis.edu/images/al,d,dm,f,h,j,wt-LA0014-seedling.jpg
LA0015	sd	--	219	http://tgrc.ucdavis.edu/images/sd.gif
LA0015	sd	--	999	http://tgrc.ucdavis.edu/images/sd-LA0015-seedling-comp.jpg
LA0023	wf	--	268	http://tgrc.ucdavis.edu/images/wf.gif
LA0023	wf	--	1039	http://tgrc.ucdavis.edu/images/wf-LA0023-seedling-comp.jpg
LA0052	br	--	812	http://tgrc.ucdavis.edu/images/br,j,wt-LA0052-seedling.jpg
LA0052	j	--	812	http://tgrc.ucdavis.edu/images/br,j,wt-LA0052-seedling.jpg
