AccessionNum	Gene	Allele	ImageNum	Hyperlink	Caption	Taxon	PhenotypicCategory	AbbrevForSolgenes	Description
3-802	pi-2	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
3-802	pi-2	--	261	http://tgrc.ucdavis.edu/images/male.steriles.gif	Flowers of ms-07 (male-sterile-07; 2-089), ms-10 (2-132), ms-31 (2-461), ms-15^47, pi-2 (pistillate-2; 3-802), ps (positional sterile; LA0063) and vms (variable male-sterile; 2-219) grown at low or high (inducing) temperatures are shown. [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-802	pi-2	--	975	http://tgrc.ucdavis.edu/images/pi-2-3-802-flower.jpg	Flower of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	L	Flower form and color	Flower form and color
3-802	pi-2	--	975	http://tgrc.ucdavis.edu/images/pi-2-3-802-flower.jpg	Flower of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
3-802	pi-2	--	975	http://tgrc.ucdavis.edu/images/pi-2-3-802-flower.jpg	Flower of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-802	pi-2	--	976	http://tgrc.ucdavis.edu/images/pi-2-3-802-whole-plant.jpg	Whole plant of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	L	Flower form and color	Flower form and color
3-802	pi-2	--	976	http://tgrc.ucdavis.edu/images/pi-2-3-802-whole-plant.jpg	Whole plant of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	M	Inflorescence	Inflorescence (exclusive of L)
3-802	pi-2	--	976	http://tgrc.ucdavis.edu/images/pi-2-3-802-whole-plant.jpg	Whole plant of 3-802 pi-2 [photo: Carl M. Jones].	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-804	grn	--	319	http://tgrc.ucdavis.edu/images/grn.gif	Stem sections of normal (+) and granulosa (grn).  [photo C.M. Rick]	L. esculentum	I	Hair modification	Hair modifications: augmentation, reduction, distortion, elimination
3-805	ccf	--	64	http://tgrc.ucdavis.edu/images/ccf.flowers.gif	Flowers of normal (+) versus ccf (cactiflora; 3-805). [photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
3-805	ccf	--	64	http://tgrc.ucdavis.edu/images/ccf.flowers.gif	Flowers of normal (+) versus ccf (cactiflora; 3-805). [photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-805	ccf	--	64	http://tgrc.ucdavis.edu/images/ccf.flowers.gif	Flowers of normal (+) versus ccf (cactiflora; 3-805). [photo C.M. Rick]	L. esculentum	O	Fruit form and texture	Fruit form and surface texture
3-805	ccf	--	65	http://tgrc.ucdavis.edu/images/ccf.fruit.gif	Fruit showing blossom-end deformities of ccf (cactiflora; 3-805),[photo C.M. Rick]	L. esculentum	L	Flower form and color	Flower form and color
3-805	ccf	--	65	http://tgrc.ucdavis.edu/images/ccf.fruit.gif	Fruit showing blossom-end deformities of ccf (cactiflora; 3-805),[photo C.M. Rick]	L. esculentum	N	Sterility	Sterility: any condition leading to partial or complete unfruitfulness
3-805	ccf	--	65	http://tgrc.ucdavis.edu/images/ccf.fruit.gif	Fruit showing blossom-end deformities of ccf (cactiflora; 3-805),[photo C.M. Rick]	L. esculentum	O	Fruit form and texture	Fruit form and surface texture
LA0013	a	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg	Seedling of LA0013 a,c,d,l,r,y [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
LA0013	a	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg	Seedling of LA0571 d^im, LA0570 d^cr, LA0013 a,c,d,l,r,y [photo: Carl M. Jones].	L. esculentum	A	Anthocyanin modified	Anthocyanin modifications: intensification, reduction, elimination
LA0013	c	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg	Seedling of LA0013 a,c,d,l,r,y [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0013	c	--	864	http://tgrc.ucdavis.edu/images/d^im,d^cr,a,c,d,l,r,y-LA0571,LA0570,LA0013-seedling.jpg	Seedling of LA0571 d^im, LA0570 d^cr, LA0013 a,c,d,l,r,y [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
LA0013	d	--	741	http://tgrc.ucdavis.edu/images/a,c,d,l,r,y-LA0013-seedling.jpg	Seedling of LA0013 a,c,d,l,r,y [photo: Carl M. Jones].	L. esculentum	J	Leaf form and size	Leaf form and size
