AccessionNum	Gene	Allele
LA0824	res	--
LA0825	ria	--
LA0826	ses	--
LA0827	em	--
LA0828	dt	--
LA0829	dlb	--
LA0830	cvl	--
LA0831	cg	--
LA0832	cfa	--
LA0833	cpa	--
LA0834	jug	2
LA0835	lt	--
LA0836	ga	--
LA0837	hg	--
LA0838	alu	--
LA0839	ita	--
LA0840	ina	--
LA0841	ins	--
LA0842	glu	--
LA0843	ful	2
LA0844	marm	2
LA0845	mic	--
LA0846	mup	--
LA0847	mux	--
LA0848	mor	--
LA0849	mts	--
LA0850	era	--
LA0851	mua	--
LA0852	exs	--
LA0853	su	2
LA0854	fa	--
LA0855	pm	--
LA0856	px	--
LA0857	vra	--
LA0858	vga	--
LA0859	ves	--
LA0860	pp	--
LA0861	te	--
LA0862	sfa	--
LA0863	im	--
LA0864	frg	--
LA0865	sa	--
LA0866	mut	--
LA0867	pl	--
LA0868	os	--
LA0872	fsc	--
LA0873	fd	--
LA0875	hp-1	--
LA0875	sp	--
LA0875	u	--
LA0876	hp-1	--
LA0876	sp	--
LA0877	pau	--
LA0877	r	--
LA0878	au	--
LA0878	H	--
LA0878	ms-31	--
LA0878	tf	--
LA0879	tl	--
LA0879	yv	--
LA0880	div	--
LA0880	sf	--
LA0881	a	--
LA0881	hl	--
LA0881	neg	--
LA0882	adp	--
LA0882	deb	--
LA0882	La	--
LA0883	ah	--
LA0883	pum	--
LA0884	marm	--
LA0884	wd	--
LA0885	e	--
LA0885	ful	--
LA0885	su	3
LA0886	e	--
LA0886	ful	--
LA0886	ra	--
LA0887	ful	--
LA0887	ra	--
LA0888	clau	--
LA0888	e	--
LA0888	ful	--
LA0888	ven	--
LA0889	ra	--
LA0889	su	3
LA0890	ra	--
LA0890	ven	--
LA0891	e	--
LA0891	ful	--
LA0891	muf	--
LA0892	lg-5	--
LA0893	alb	--
LA0893	Lpg	--
LA0893	ser	--
LA0893	slx	--
LA0894	inv	--
LA0894	Jau	--
LA0895	Hr	--
LA0895	sp	--
LA0895	tp	--
LA0895	u	--
LA0896	clau	vc
LA0897	al	--
LA0897	bu	--
LA0897	dl	--
LA0897	l	--
LA0898	ms-31	--
LA0899	ms	--
LA0900	aw	--
LA0900	d	--
LA0900	m	--
LA0900	ms-31	--
LA0901	aw	--
LA0901	d	--
LA0901	m	--
LA0901	ms	--
LA0902	e	--
LA0902	ful	--
LA0902	ms-31	--
LA0902	ra	2
LA0903	e	--
LA0903	ful	--
LA0903	ms-33	--
LA0903	ra	2
LA0904	c	--
LA0904	ms-31	--
LA0904	yv	--
LA0905	c	--
LA0905	m-2	--
LA0905	ms-33	--
LA0905	yv	--
LA0907	lut	--
LA0907	pr	--
LA0908	per	--
