#	Line #	Plot Number	Replicate Number	Date data gathered	Flower color	Vine maturity (95 DAP)	Vine maturity (120 DAP)	Growth habit	Total Yield	Specific gravity 	Plot Tuber picture	Tuber skin color	Tuber skin texture	Tuber flesh color	Tuber shape 	Tuber length	Tuber width	Tuber height	Tuber eye depth	Tuber size	Tuber appearance
#	#	#	#	mm/dd/yy	white, purple, or red, blue	Scale 1-9, see appendix	PVP scale 1-9, see appendix	PVP scale 1-9, see appendix	3 digits and a tenth (kg)	SG = (air)/(air-water), 1.###	filename	PVP	NE1014 scale 1-9, see appendix	PVP scale 1-9, see appendix	see NE1014 chart, use Figure 14 in appendix as guide	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	Avg. of 10 tubers (mm)	PVP scale 1-9, see appendix 	NE1014 scale 1-9, see appendix	NE1014 scale 1-9, see appendix
accession	Line #	Plot Number	Replicate Number	date	SP:0000009|	SP:0000211|scale:potato_cooperators	SP:0000210|scale:potato_cooperators	SP:0000128|scale:PVP	SP:0000198|unit:kilogram	SP:0000217|unit:	filename	SP:0000185|scale:PVP	SP:0000186|scale:NE1014	SP:0000188|scale:PVP	SP:0000201|scale:potato_cooperators	SP:0000203|unit:millimeter	SP:0000204|unit:millimeter	SP:0000213|unit:millimeter	SP:0000191|scale:PVP	SP:0000322|scale:NE1014	SP:0000212|scale:NE1014
A05141-62|2	A05141-62	63-30	2	2009/09/23	LRP	7	5	3	7.6	1.088		5	4	1	5				3	5	5
A05141-64|1	A05141-64	62-25	1	2009/09/23	LRP^	3	1	3	2.85768	1.088	A05141-64 Tuber.JPG	4	5	1	5	6.5875	3.675	3.4625	5	3	3
A05141-64|2	A05141-64	64-41	2	2009/09/23	LRP^	4	3	5	9	1.092		4	6	1	5				5	3	3
A05141-66|1	A05141-66	63-17	1	2009/09/23	MRP^	8	4	3	6.3504	1.086	A05141-66 Tuber.JPG	6	3	1	4	11.41	6.06	5.32	5	5	7
A05141-66|2	A05141-66	63-46	2	2009/09/23	MRP^	8	6	3	23.4	1.086		5	4	1	5				3	3	7
A05141-67|1	A05141-67	63-06	1	2009/09/23	MRP^	8	3	3	6.44112	1.076	A05141-67 Tuber.JPG	4	6	1	5	13.01	7.12	5.87	5	9	5
A05141-67|2	A05141-67	62-48	2	2009/09/23	MRP^	7	4	3	26.8	1.082		4	5	1	5				5	7	7
A05141-68|1	A05141-68	63-03	1	2009/09/23	MPR*	7	5	5	11.83896	1.084	A05141-68 Tuber.JPG	5	5	1	5	13.48	7.07	6.5	5	9	5
A05141-68|2	A05141-68	63-43	2	2009/09/23	MPR*	7	5	3	48.7	1.088		5	4	1	5				5	7	7
A05141-69|1	A05141-69	63-09	1	2009/09/23	MPR^	8	5	7	14.742	1.085	A05141-69 Tuber.JPG	4	4	1	5	13.04	6.63	5.75	7	9	9
A05141-69|2	A05141-69	64-38	2	2009/09/23	MPR^	7	5	3	60	1.084		5	3	1	5				7	5	7
A05141-70|1	A05141-70	62-19	1	2009/09/23	W	4	1	5	4.17312	1.099	A05141-70 Tuber.JPG	6	3	1	5	9.44	4.83	4.44	5	5	7
A05141-70|2	A05141-70	65-48	2	2009/09/23	W	6	2	3	14.8	1.091		5	4	1	5				3	3	5
A05141-71|1	A05141-71	62-10	1	2009/09/23	LRP	5	1	3	3.90096	1.096	A05141-71 Tuber.JPG	6	3	1	4	7.76	5.49	4.64	7	7	5
A05141-71|2	A05141-71	65-36	2	2009/09/23	LRP	3	1	3	16.4	1.097		5	4	1	4				7	3	5
A05141-72|1	A05141-72	63-02	1	2009/09/23	LP	8	8	5	5.2164	1.071	A05141-72 Tuber.JPG	4	6	1	5	12.93	5.88	5.38	5	9	3
A05141-72|2	A05141-72	63-32	2	2009/09/23	LP	8	7	3	20	1.067		4	5	1	5				5	7	5
A05141-73|1	A05141-73	65-04	1	2009/09/23	LRP	7	4	3	4.49064	1.088	A05141-73 Tuber.JPG	4	4	1	5	9.16	4.29	3.85	5	7	5
A05141-73|2	A05141-73	64-40	2	2009/09/23	LRP	7	5	3	14.6	1.099		4	5	1	5				3	3	3
A05141-75|1	A05141-75	64-08	1	2009/09/23	MRP	7	4	5	9.25344	1.093	A05141-75 Tuber.JPG	5	4	1	5	13.68	7.18	6.37	7	9	9
A05141-75|2	A05141-75	65-42	2	2009/09/23	MRP	7	5	7	38.8	1.084		4	5	1	5				9	7	7
A05141-76|1	A05141-76	65-03	1	2009/09/23	MRP^	7	4	7	10.34208	1.089	A05141-76 Tuber.JPG	4	5	1	4	11.1	6.31	5.73	5	7	5
A05141-76|2	A05141-76	64-32	2	2009/09/23	MRP^	6	5	7	41.4	1.087		5	4	1	5				9	7	7
A05141-77|1	A05141-77	64-19	1	2009/09/23	MRP^	6	4	7	11.74824	1.074	A05141-77 Tuber.JPG	4	6	1	5	16.51	6.47	5.49	7	7	5
A05141-77|2	A05141-77	65-32	2	2009/09/23	MRP^	8	6	7	46.1	1.075		1	7	1	5				5	9	5
A05141-78|1	A05141-78	65-08	1	2009/09/23	MRP^	7	4	7	10.11528	1.078	A05141-78 Tuber.JPG	4	6	1	5	15.38	6.38	5.45	5	9	5
A05141-78|2	A05141-78	65-38	2	2009/09/23	MRP^	7	5	5	40.8	1.077		4	6	1	5				5	9	5
A05141-79|1	A05141-79	65-13	1	2009/09/23	MRP^	5	2	7	9.61632	1.098	A05141-79 Tuber.JPG	4	5	1	4	10.91	6.8	5.892	9	3	3
A05141-79|2	A05141-79	65-33	2	2009/09/23	MRP^	6	5	7	26.1	1.086		4	5	1	5				7	5	3
A05141-80|1	A05141-80	65-16	1	2009/09/23	MRP^	8	8	7	12.33792	1.079	A05141-80 Tuber.JPG	5	4	1	5	14.19	5.6	5.26	3	9	3
A05141-80|2	A05141-80	65-45	2	2009/09/23	MRP^	8	8	5	41.2	1.071		5	4	1	5				3	7	5
A05141-82|1	A05141-82	65-17	1	2009/09/23	MRP^	7	3	3	6.89472	1.091	A05141-82 Tuber.JPG	4	6	1	5	12.964	6.74	5.42	5	9	3
A05141-82|2	A05141-82	65-27	2	2009/09/23	MRP^	8	6	7	23.8	1.086		4	6	1	5				5	7	7
A05141-83|1	A05141-83	64-04	1	2009/09/23	LRP	8	8	5	3.99168	1.075	A05141-83 Tuber.JPG	4	6	1	5	15.51	4.75	4.19	3	5	3
A05141-83|2	A05141-83	64-30	2	2009/09/23	LRP	8	7	3	14.2	1.077		4	6	1	5				3	5	5
A05141-84|1	A05141-84	64-25	1	2009/09/23	MRP^	8	6	3	4.26384	1.086	A05141-84 Tuber.JPG	6	3	1	5	11.44	5.73	5.26	5	5	5
A05141-84|2	A05141-84	62-29	2	2009/09/23	MRP^	8	6	3	14.6	1.07		5	4	1	5				3	5	5
A05141-87|1	A05141-87	64-01	1	2009/09/23	NF	3	1	7	4.21848	1.081	A05141-87 Tuber.JPG	5	4	1	5	8.79	4.94	4.6	3	1	5
A05141-87|2	A05141-87	62-32	2	2009/09/23	NF	3	1	5	7.4	1.083		4	5	1	4				5	1	5
A05141-88|1	A05141-88	64-12	1	2009/09/23	W	7	8	3	6.3504	1.084	A05141-88 Tuber.JPG	5	4	1	5	12.7	5.7	5.34	3	9	5
A05141-88|2	A05141-88	62-27	2	2009/09/23	W	8	7	3	26.4	1.075		4	5	1	5				3	5	7
A05141-90|1	A05141-90	64-07	1	2009/09/23	MRP^	3	1	5	6.804	1.083	A05141-90 Tuber.JPG	4	4	1	3	9.23	5.65	4.96	5	1	5
A05141-90|2	A05141-90	65-47	2	2009/09/23	MRP^	4	1	5	14.7	1.087		5	4	1	4				5	1	5
A05141-91|1	A05141-91	63-01	1	2009/09/23	MRP^	4	1	3	2.22264	1.082	A05141-91 Tuber.JPG	6	3	1	3	6.12	4.24	3.82	7	1	3
A05141-91|2	A05141-91	65-39	2	2009/09/23	MRP^	3	1	3	8.8	1.087		6	3	1	4				5	1	2
A05141-92|1	A05141-92	64-14	1	2009/09/23	W	3	2	5	5.94216	1.082	A05141-92 Tuber.JPG	5	4	1	4	9.42	6.88	5.86	7	7	5
A05141-92|2	A05141-92	65-34	2	2009/09/23	W	4	2	5	22.4	1.08		5	4	1	4				7	3	5
A05141-94|1	A05141-94	62-08	1	2009/09/23	NF	3	1	3	1.95048	1.096	A05141-94 Tuber.JPG	5	4	1	4	6.24	3.69	3.65	5	3	5
A05141-94|2	A05141-94	65-44	2	2009/09/23	NF	3	1	3	6.9	1.088		5	4	1	4				3	1	7
A05141-95|1	A05141-95	62-15	1	2009/09/23	MRP^	5	1	3	11.29464	1.09	A05141-95 Tuber.JPG	6	3	1	5	11.62	6.51	5.73	5	7	9
